place_id,industry_name,category,latitude,longitude,address,city,state,country,source
del-anchor-0001,Badarpur Thermal Power Station,power,28.5032,77.3068,"Badarpur, South Delhi - 110044, Delhi, India",Delhi,Delhi,India,Delhi Industrial Infrastructure Master Directory
del-anchor-0002,Pragati Combined Cycle Power Station,power,28.6186,77.2514,"Pragati Power Station, IP Estate, New Delhi - 110002, Delhi, India",Delhi,Delhi,India,Delhi Industrial Infrastructure Master Directory
del-anchor-0003,Indraprastha Power Station (IPGCL),power,28.6253,77.2536,"IP Estate, Ring Road, New Delhi - 110002, Delhi, India",Delhi,Delhi,India,Delhi Industrial Infrastructure Master Directory
del-anchor-0004,Timarpur-Okhla Waste-to-Energy Plant,power,28.5372,77.2844,"Old NDMC Compost Plant, Okhla, New Delhi - 110025, Delhi, India",Delhi,Delhi,India,Delhi Industrial Infrastructure Master Directory
del-anchor-0005,Ghazipur Waste-to-Energy Plant,power,28.6259,77.3325,"Ghazipur Dairy Farm, East Delhi - 110096, Delhi, India",Delhi,Delhi,India,Delhi Industrial Infrastructure Master Directory
del-anchor-0006,Narela-Bawana Waste to Energy Facility,power,28.8041,77.0652,"Sector 5, DSIIDC Bawana Industrial Area, North West Delhi - 110039, Delhi, India",Delhi,Delhi,India,Delhi Industrial Infrastructure Master Directory
del-anchor-0007,Tehkhand Waste to Energy Plant,power,28.512,77.292,"Tehkhand, Okhla Phase-I, South Delhi, Delhi, India",Delhi,Delhi,India,Delhi Industrial Infrastructure Master Directory
del-anchor-0008,NTPC Gas Turbine Power Station,power,28.5085,77.312,"Mathura Road, Badarpur, South Delhi - 110044, Delhi, India",Delhi,Delhi,India,Delhi Industrial Infrastructure Master Directory
del-anchor-0009,Rithala Combined Cycle Power Plant,power,28.7235,77.1082,"Sector 11, Rohini / Rithala, North West Delhi - 110085, Delhi, India",Delhi,Delhi,India,Delhi Industrial Infrastructure Master Directory
del-anchor-0010,Bawana Gas Based Power Station (CCGT),power,28.7985,77.0423,"Sector 1, Bawana Industrial Area, North West Delhi - 110039, Delhi, India",Delhi,Delhi,India,Delhi Industrial Infrastructure Master Directory
